date,city,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,price
2020-02-02,RB,apartment,A,2,2,1,1,1,1,0,140.0,0,0,1,600
2020-02-02,B,apartment,A,3,2,1,3,0,1,0,190.0,0,1,0,1800
2020-02-02,RB,apartment,B,3,3,1,1,1,1,0,170.0,0,0,1,700
2020-02-02,RB,apartment,B,3,2,1,0,1,1,0,140.0,0,0,1,500
2020-02-02,RB,apartment,A,3,1,1,0,1,1,0,100.0,0,0,1,700
2020-02-02,RB,apartment,B,3,1,1,2,0,0,0,140.0,1,0,0,280
2020-02-02,RB,apartment,A,1,1,1,0,0,0,0,110.0,0,1,0,1000
2020-02-02,RB,apartment,C,3,2,1,2,1,1,1,200.0,0,0,1,180000
2020-02-02,RB,apartment,B,3,2,1,2,0,1,1,160.0,0,0,1,550
2020-02-04,N,apartment,B,2,1,1,0,0,0,0,100.0,0,1,0,600
2020-02-02,RB,apartment,B,2,2,1,1,1,1,0,135.0,0,1,0,1200
2020-02-03,RB,apartment,B,3,2,1,0,0,0,0,140.0,0,1,0,1450
2020-02-02,RB,apartment,B,2,2,1,2,0,1,1,150.0,0,0,1,500
2020-02-04,RB,apartment,B,1,1,1,0,0,0,0,140.0,0,1,0,1100
2020-02-02,RB,apartment,B,3,2,1,1,1,1,0,160.0,0,0,1,500
2020-02-02,RB,apartment,B,3,2,1,1,1,1,0,160.0,0,0,1,500
2020-02-04,RB,apartment,A,3,2,1,1,1,1,0,160.0,0,0,1,600
2020-02-02,RB,apartment,A,3,3,1,1,1,1,1,180.0,0,0,1,1100
2020-02-02,RB,apartment,A,1,1,1,0,0,0,0,140.0,0,0,1,350
2020-02-02,RB,apartment,A,3,3,1,1,1,1,0,180.0,0,0,1,700
2020-02-02,RB,apartment,B,3,3,1,1,1,1,1,160.0,0,0,1,600
2020-02-02,RB,apartment,B,2,2,1,1,0,1,0,110.0,0,0,1,400
2020-02-02,RB,apartment,A,1,1,1,1,1,1,0,140.0,0,0,1,550
2020-02-02,RB,apartment,A,2,1,1,1,0,1,0,120.0,0,1,0,1500
2020-02-03,B,apartment,A,1,1,1,0,1,1,1,25.0,0,1,0,1000
2020-02-03,N,apartment,C,3,2,1,2,1,1,0,170.0,1,0,0,4000
2020-02-03,RB,apartment,A,1,1,1,2,1,1,1,70.0,0,0,1,550
2020-02-03,RB,apartment,A,3,2,1,0,1,1,0,115.0,0,1,0,1800
2020-03-02,RB,apartment,A,1,1,1,1,0,0,0,140.0,0,0,1,500
2020-02-03,B,apartment,B,3,3,1,1,0,0,0,150.0,0,1,0,2000
2020-02-03,RB,apartment,A,3,3,1,2,1,1,1,180.0,0,0,1,950
2020-02-03,RB,apartment,A,3,3,1,2,1,1,1,190.0,0,0,1,1000
2020-02-03,RB,apartment,B,3,2,1,2,0,0,0,300.0,0,1,0,1500
2020-02-08,RB,apartment,B,2,1,1,0,0,0,0,100.0,0,1,0,1000
2020-02-03,RB,apartment,B,3,2,1,0,1,1,0,140.0,0,0,1,500
2020-02-03,RB,apartment,A,3,1,1,0,1,0,0,140.0,0,0,1,700
2020-02-03,RB,apartment,B,4,2,2,2,1,1,0,160.0,0,1,0,1500
2020-02-03,RB,apartment,B,2,2,1,1,1,1,0,140.0,0,1,0,1600
2020-02-08,RB,apartment,A,3,2,1,2,1,1,1,170.0,0,0,1,500
2020-02-03,RB,apartment,A,3,3,1,2,1,1,1,170.0,0,0,1,700
2020-02-03,RB,apartment,A,3,3,1,1,1,1,1,170.0,0,0,1,800
2020-02-03,RB,apartment,A,2,3,1,1,1,1,1,170.0,0,0,1,1000
