city,status,numberRooms,numberBathrooms,numberBalconies,houseSpace,elevator,carParking,heating,featurePlus,featurePlus2,Bldg_A,Bldg_B,MedstatusHouseSpace,city_encoded,priceUS
1,2,3,3,1,155.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,550.0
1,2,1,1,0,20.0,1,1,0,1.0,1.0,0,0,130.0,1508.2965041390216,180.0
1,1,1,1,1,70.0,1,1,1,1.0,2.0,1,0,100.0,1508.2965041390216,400.0
1,2,3,3,2,185.0,1,0,1,1.0,1.6666666666666667,0,2,130.0,1508.2965041390216,465.0
1,2,3,3,1,160.0,1,1,1,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,600.0
1,1,1,1,0,0.0,1,1,1,1.0,1.0,0,0,100.0,1508.2965041390216,550.0
1,2,2,1,1,130.0,0,0,0,0.5,1.0,0,1,130.0,1508.2965041390216,210.0
1,2,3,3,3,200.0,0,0,0,1.0,2.0,0,3,130.0,1508.2965041390216,390.0
1,2,1,1,1,0.0,1,1,0,1.0,2.0,0,1,130.0,1508.2965041390216,270.0
1,2,3,3,3,180.0,1,1,0,1.0,2.0,0,3,130.0,1508.2965041390216,750.0
1,1,3,2,1,200.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,135.0
2,1,3,2,2,145.0,0,1,0,0.6666666666666666,1.3333333333333333,2,0,100.0,2809.5507241955816,750.0
3,2,3,2,2,140.0,1,1,0,0.6666666666666666,1.3333333333333333,0,2,130.0,3107.09112274828,423.0
4,3,2,2,0,100.0,0,0,0,1.0,1.0,0,0,130.0,3749.991715220519,180.0
1,2,1,1,0,20.0,0,0,0,1.0,1.0,0,0,130.0,1508.2965041390216,200.0
1,1,2,2,1,0.0,1,1,0,1.0,1.5,1,0,100.0,1508.2965041390216,600.0
3,1,3,2,3,190.0,0,1,0,0.6666666666666666,1.6666666666666667,3,0,100.0,3107.09112274828,540.0
1,2,3,3,1,170.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,700.0
1,2,3,2,0,140.0,1,1,0,0.6666666666666666,0.6666666666666666,0,0,130.0,1508.2965041390216,500.0
1,1,3,1,0,100.0,1,1,0,0.3333333333333333,0.3333333333333333,0,0,100.0,1508.2965041390216,700.0
1,2,3,1,2,0.0,0,0,0,0.3333333333333333,1.0,0,2,130.0,1508.2965041390216,394.8
1,1,1,1,0,110.0,0,0,0,1.0,1.0,0,0,100.0,1508.2965041390216,300.0
1,2,3,2,2,160.0,0,1,1,0.6666666666666666,1.3333333333333333,0,2,130.0,1508.2965041390216,550.0
4,2,2,1,0,100.0,0,0,0,0.5,0.5,0,0,130.0,3749.991715220519,180.0
1,2,2,2,1,135.0,1,1,0,1.0,1.5,0,1,130.0,1508.2965041390216,360.0
1,2,3,2,0,0.0,0,0,0,0.6666666666666666,0.6666666666666666,0,0,130.0,1508.2965041390216,435.0
1,2,2,2,2,150.0,0,1,1,1.0,2.0,0,2,130.0,1508.2965041390216,500.0
