date,city,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,houseSpace,elevator,carParking,heating,priceUS
2020-02-04,RB,apartment,B,1,1,1,0,,0,0,0,330.0
2020-02-02,RB,apartment,B,3,2,1,1,160.0,1,1,0,500.0
2020-02-02,RB,apartment,B,3,2,1,1,160.0,1,1,0,500.0
2020-02-04,RB,apartment,A,3,2,1,1,160.0,1,1,0,600.0
2020-02-02,RB,apartment,A,3,3,1,1,180.0,1,1,1,1100.0
2020-02-02,RB,apartment,A,1,1,1,0,,0,0,0,350.0
2020-02-02,RB,apartment,A,3,3,1,1,180.0,1,1,0,700.0
2020-02-02,RB,apartment,B,3,3,1,1,160.0,1,1,1,600.0
2020-02-02,RB,apartment,B,2,2,1,1,110.0,0,1,0,400.0
2020-02-02,RB,apartment,A,1,1,1,1,,1,1,0,550.0
2020-02-02,RB,apartment,A,2,1,1,1,120.0,0,1,0,450.0
2020-02-03,B,apartment,A,1,1,1,0,25.0,1,1,1,300.0
2020-02-03,N,apartment,C,3,2,1,2,170.0,1,1,0,5640.0
2020-02-03,RB,apartment,A,1,1,1,2,70.0,1,1,1,550.0
2020-02-03,RB,apartment,A,3,2,1,0,115.0,1,1,0,540.0
2020-03-02,RB,apartment,A,1,1,1,1,,0,0,0,500.0
2020-02-03,B,apartment,B,3,3,1,1,150.0,0,0,0,600.0
2020-02-03,RB,apartment,A,3,3,1,2,180.0,1,1,1,950.0
2020-02-03,RB,apartment,A,3,3,1,2,190.0,1,1,1,1000.0
2020-02-03,RB,apartment,B,3,2,1,2,300.0,0,0,0,450.0
2020-02-08,RB,apartment,B,2,1,1,0,100.0,0,0,0,300.0
2020-02-03,RB,apartment,B,3,2,1,0,,1,1,0,500.0
2020-02-03,RB,apartment,A,3,1,1,0,,1,0,0,700.0
2020-02-03,RB,apartment,B,4,2,2,2,160.0,1,1,0,450.0
2020-02-03,RB,apartment,B,2,2,1,1,140.0,1,1,0,480.0
2020-02-08,RB,apartment,A,3,2,1,2,170.0,1,1,1,500.0
2020-02-03,RB,apartment,A,3,3,1,2,170.0,1,1,1,700.0
2020-02-03,RB,apartment,A,3,3,1,1,170.0,1,1,1,800.0
2020-02-03,RB,apartment,A,2,3,1,1,170.0,1,1,1,1000.0
2020-02-03,RB,apartment,A,3,1,1,0,,0,1,0,135.0
2020-02-03,RB,apartment,B,3,3,1,1,,1,1,1,600.0
2020-02-03,RB,apartment,B,2,2,1,1,110.0,0,0,0,400.0
2020-02-04,RB,apartment,B,3,3,1,1,,1,1,1,600.0
2020-02-03,RB,apartment,B,3,2,1,1,140.0,1,1,0,570.0
2020-02-05,RB,apartment,A,2,1,1,1,,1,1,0,600.0
2020-02-04,RB,apartment,B,3,3,1,0,150.0,1,1,0,450.0
2020-02-04,B,apartment,B,2,1,1,2,70.0,0,0,0,360.0
2020-02-05,RB,apartment,B,2,2,1,0,0.0,0,0,0,120.0
2020-02-04,RB,apartment,B,3,2,1,1,140.0,1,1,0,500.0
2020-02-08,RB,apartment,A,1,2,1,0,,1,1,1,480.0
2020-02-04,RB,apartment,B,3,2,1,1,140.0,1,1,0,500.0
2020-02-04,RB,apartment,B,2,2,1,2,130.0,0,0,0,450.0
2020-02-04,RB,apartment,A,3,3,1,1,150.0,1,1,0,600.0
2020-02-19,T,apartment,C,3,1,1,1,120.0,1,1,0,390.0
2020-02-04,N,apartment,A,3,2,1,2,,1,1,0,4653.0
2020-02-04,RB,apartment,A,3,3,1,2,180.0,1,1,0,800.0
2020-02-04,RB,apartment,A,3,3,1,3,165.0,1,1,1,800.0
2020-02-05,N,apartment,A,3,2,1,1,,0,0,0,180.0
2020-02-04,RB,apartment,B,3,2,1,1,140.0,1,1,0,570.0
2020-02-04,RB,apartment,A,2,2,1,1,120.0,1,1,0,500.0
2020-02-04,RB,apartment,B,3,2,1,1,,1,1,0,500.0
2020-02-04,RB,apartment,A,3,3,1,1,160.0,1,1,1,800.0
2020-02-04,RB,apartment,A,2,1,1,1,120.0,0,1,0,600.0
2020-02-04,RB,apartment,A,1,1,1,0,,0,0,0,350.0
2020-02-04,RB,apartment,A,2,2,1,1,120.0,1,1,0,660.0
2020-02-04,RB,apartment,B,3,2,1,1,155.0,1,1,0,500.0
2020-02-04,RB,apartment,A,3,2,1,1,155.0,1,1,0,600.0
2020-02-07,RB,apartment,A,2,2,1,1,170.0,1,1,1,1100.0
2020-02-04,RB,apartment,B,1,1,1,1,,1,1,0,270.0
2020-02-05,RB,apartment,A,3,1,1,0,90.0,1,0,0,700.0
2020-02-05,RB,apartment,A,2,2,1,0,130.0,1,1,0,500.0
2020-02-08,RB,apartment,B,3,1,1,0,280.0,0,0,0,600.0
2020-02-05,RB,apartment,A,2,2,1,2,110.0,1,1,1,800.0
2020-02-10,N,apartment,A,2,2,1,1,90.0,0,0,0,720.0
2020-02-05,RB,apartment,A,1,1,1,0,45.0,1,1,0,500.0
2020-02-05,T,apartment,A,2,2,1,0,100.0,0,0,0,54.0
2020-02-05,RB,apartment,B,3,2,1,0,150.0,1,1,1,500.0
2020-02-05,RB,apartment,B,3,3,1,1,124.0,1,1,0,500.0
2020-02-05,RB,apartment,B,6,2,1,1,190.0,0,0,0,1200.0
2020-02-05,B,apartment,A,2,1,1,0,140.0,0,1,0,420.0
2020-02-05,RB,apartment,B,3,3,1,1,140.0,1,1,0,500.0
2020-02-05,JN,apartment,C,4,2,1,1,130.0,0,0,0,253.8
2020-02-05,RB,apartment,B,2,2,1,2,130.0,0,0,0,425.0
2020-02-05,N,apartment,B,3,2,1,1,150.0,1,1,0,4230.0
2020-02-05,N,apartment,B,3,2,1,0,200.0,1,0,0,3948.0
2020-02-05,RB,apartment,B,3,2,1,1,140.0,1,1,0,550.0
2020-02-05,RB,apartment,B,3,2,1,1,140.0,1,1,0,550.0
2020-02-05,RB,apartment,B,3,2,1,2,140.0,1,1,0,500.0
2020-02-05,RB,apartment,D,3,4,1,2,165.0,0,0,0,450.0
2020-02-08,RB,apartment,B,3,2,1,1,127.0,1,1,0,550.0
2020-02-05,RB,apartment,A,3,2,1,1,,1,1,0,600.0
2020-02-05,RB,apartment,A,3,3,1,1,,1,1,0,650.0
2020-02-05,RB,apartment,B,3,2,1,1,150.0,0,1,0,450.0
2020-02-05,RB,apartment,B,3,3,1,0,150.0,1,1,1,500.0
2020-02-06,RB,apartment,B,2,1,1,1,120.0,0,1,0,480.0
2020-02-05,RB,apartment,B,3,2,1,1,140.0,1,1,0,450.0
2020-02-05,RB,apartment,A,3,2,1,1,160.0,1,1,0,700.0
2020-02-06,RB,apartment,B,3,3,1,1,140.0,1,1,0,550.0
2020-02-06,RB,apartment,B,3,1,1,1,130.0,0,0,0,240.0
2020-02-06,B,apartment,B,3,2,1,2,140.0,1,0,0,500.0
2020-02-06,RB,apartment,A,3,3,1,1,200.0,1,1,0,300.0
2020-02-06,RB,apartment,A,3,3,1,1,150.0,1,1,0,600.0
