date,houseId,category,city,address,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,loungeType,houseSpace,landArea,elevator,carParking,heating,price,priceType
2020-01-30 ,240040,للايجار,نابلس, - زواتا,شقة,غير مفروشة ,ثلاث غرف ,1 ,1 ,0 ,نعم يوجد صاله ,90,400, , , ,2000,دينار
2020-01-30 ,240041,للايجار,طولكرم, -  مدينة طولكرم,شقة,مفروشة ,غرفة واحدة - ستوديو , ,1 , ,لا , , , ,نعم , ,1100,شيكل
2020-01-30 ,240042,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,4 ,1 ,2 ,3 ,240, ,نعم ,نعم ,نعم ,250000,دولار
2020-01-30 ,240043,للبيع,نابلس, -  مدينة نابلس,شقة,مشطب ,ثلاث غرف ,2 ,1 ,1 ,صاله كبيره ,186, , ,نعم , ,86000,دينار
2020-01-30 ,240044,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,1 ,1 ,0 ,صالة كبيرة ,119,550, , , ,500,دولار
2020-01-30 ,240045,للايجار,رام الله والبيرة, -  مدينة البيرة,شقة,مفروشة ,غرفتين ,1 ,1 ,1 ,1 , ,80,نعم ,نعم , ,1000,شيكل
2020-01-30 ,240046,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,ثلاث غرف ,1 ,1 ,0 ,يوجد صاله كبيره ,140, , , , ,400,شيكل
2020-02-04 ,240047,للايجار,رام الله والبيرة, - بيتونيا,شقة,غير مفروشة ,غرفة واحدة - ستوديو ,1 ,1 ,1 ,يوجد ,90, , , , ,800,شيكل
2020-01-30 ,240049,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,غرفتين ,1 ,1 ,1 ,صالة كبير , , ,نعم , , ,700,دولار
2020-01-30 ,240051,للبيع,بيت لحم, - الدوحة,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,2 ,صاله كبيره ,150, ,نعم ,نعم , ,85000,دينار
2020-01-30 ,240052,للبيع,الخليل, -  مدينة الخليل,شقة,مشطب ,اربع غرف ,2 ,1 ,0 ,1 ,165,0, ,نعم , ,75000,دينار
2020-01-30 ,240053,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,عظم ,ثلاث غرف ,3 ,1 ,2 ,صالة مع مطبخ ,155, ,نعم ,نعم , ,85000,دولار
2020-01-30 ,240055,للبيع,رام الله والبيرة, - كفر عقب,شقة,غير مفروشة ,غرفتين ,1 ,1 ,1 ,صالون وصاله  ,90,90, , , ,250000,شيكل
2020-01-30 ,240056,للبيع,رام الله والبيرة, - كفر عقب,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,1 ,صالون وصاله  ,150,150,نعم ,نعم , ,380000,شيكل
2020-01-30 ,240057,للايجار,بيت لحم, - الدوحة,شقة,مفروشة ,غرفتين ,2 , , , , , , ,نعم , ,2200,شيكل
2020-01-30 ,240058,للبيع,رام الله والبيرة, -  مدينة البيرة,شقة,غير مفروشة ,غرفتين ,2 ,1 ,2 ,صالون وصاله  ,100,100, , , ,28000,دينار
2020-02-11 ,240059,للبيع,نابلس, -  مدينة نابلس,شقة,مشطب ,ثلاث غرف ,2 ,1 ,1 ,صالة واسعة مفتوحة على المطبخ  ,145,1000,نعم ,نعم , ,58000,دينار
2020-02-02 ,240060,للبيع,الخليل, -  مدينة الخليل,شقة,مشطب ,ثلاث غرف ,2 ,1 , ,نعم ,140, ,نعم ,نعم , ,75000,دينار
2020-02-01 ,240061,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,ثلاث غرف ,3 ,1 ,2 ,2 ,200,50,نعم ,نعم ,نعم ,850,دولار
2020-01-30 ,240062,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,غرفة واحدة - ستوديو , , , , , , ,نعم ,نعم ,نعم ,1600,شيكل
2020-01-30 ,240063,للايجار,بيت لحم, -  مدينة بيت لحم,شقة,مشطب ,غرفتين , , ,1 ,صاله واسعه ,135, ,نعم , , ,500,دولار
2020-01-30 ,240064,منفصل,نابلس, -  مدينة نابلس,منزل,مشطب ,اربع غرف ,3 ,1 ,1 ,صالون كبير ,240,500, , , ,140000,دينار
2020-01-30 ,240065,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,غرفتين ,1 ,1 , ,صالة , , , , , ,500,دولار
2020-01-30 ,240067,منفصل,الخليل, -  مدينة الخليل,منزل,مشطب ,ثلاث غرف ,1 ,1 ,1 ,نعم ,115,400, ,نعم , ,35000,دينار
2020-01-30 ,240068,للايجار,بيت لحم, - الدوحة,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,2 ,صاله ,130, ,نعم ,نعم , ,1300,شيكل
2020-01-30 ,240069,للبيع,رام الله والبيرة, - بير زيت,شقة,مشطب ,ثلاث غرف ,3 ,1 ,2 ,يوجد صاله كبيره ,165,1000,نعم ,نعم ,نعم ,120000,دولار
2020-01-30 ,240070,للبيع,نابلس, -  مدينة نابلس,شقة,عظم ,ثلاث غرف ,2 ,1 , ,نعم ,100, ,نعم ,نعم , ,30000,دينار
2020-01-30 ,240071,للايجار,نابلس, -  مدينة نابلس,شقة,غير مفروشة ,غرفتين ,2 ,1 ,1 ,١ ,150, , , , ,320,دينار
2020-02-01 ,240072,للايجار,الخليل, -  مدينة الخليل,شقة,مشطب ,غرفتين ,2 ,1 ,1 ,موجود ,125, , , , ,1800,دينار
2020-01-30 ,240073,منفصل,رام الله والبيرة, -  مدينة البيرة,منزل,غير مفروشة ,خمس غرف ,3 ,1 ,3 ,2 ,420,420, , , ,300000,دولار
2020-01-30 ,240074,للايجار,رام الله والبيرة, - بيتونيا,شقة,غير مفروشة ,ثلاث غرف , , , ,نعم ,130, ,نعم ,نعم , ,200,دينار
2020-01-30 ,240075,للايجار,الخليل, -  مدينة الخليل,شقة,مفروشة ,ثلاث غرف ,3 ,1 ,3 , ,174, ,نعم ,نعم ,نعم ,3000,شيكل
2020-01-30 ,240076,للبيع,رام الله والبيرة, -  مدينة البيرة,شقة,مشطب ,ثلاث غرف ,3 ,1 ,2 ,صالة واسعة ,200,1000,نعم ,نعم ,نعم ,165000,دولار
2020-02-03 ,240077,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,مشطب ,ثلاث غرف ,3 ,1 ,1 ,صالة واسعة ,165,2000,نعم ,نعم ,نعم ,140000,دولار
2020-01-30 ,240078,للبيع,جنين, - قباطية,فيلا,غير مفروشة ,أكثر من خمس غرف ,3 ,1 ,1 ,صالتين ,260,900, ,نعم , ,420.000,شيكل
2020-01-30 ,240079,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,مفروشة ,ثلاث غرف ,2 ,1 ,2 ,1 ,160, ,نعم ,نعم , ,1200,دولار
2020-03-05 ,240080,للبيع,رام الله والبيرة, -  مدينة البيرة,شقة,مشطب ,ثلاث غرف ,3 ,1 ,1 ,صالون  وسفره ,200, ,نعم ,نعم , ,165000,دولار
2020-01-30 ,240081,للايجار,رام الله والبيرة, -  مدينة البيرة,شقة,مفروشة ,غرفتين ,2 ,1 ,1 ,صالة كبيرة  ,145,000, ,نعم , ,600,دولار
2020-01-30 ,240083,للبيع,بيت لحم, - بيت جالا,شقة,عظم ,ثلاث غرف ,2 ,1 ,2 ,صاله كبيره ,155, ,نعم ,نعم ,نعم ,130000,دولار
2020-02-03 ,240084,للبيع,نابلس, - بزاريا,شقة,مفروشة ,ثلاث غرف ,2 ,1 , ,صالة كبيرة ,110, , , , ,40.000,دينار
2020-01-30 ,240085,للبيع,الخليل, -  مدينة الخليل,شقة,عظم ,خمس غرف ,2 ,1 ,2 ,صاله كبيرة ,155, ,نعم ,نعم , ,50.000,دينار
2020-01-30 ,240086,للبيع,نابلس, -  مدينة نابلس,شقة,مشطب ,أكثر من خمس غرف ,3 ,1 , , ,228, , ,نعم ,نعم ,110000,دينار
2020-01-30 ,240087,للبيع,رام الله والبيرة, -  مدينة رام الله,شقة,مشطب ,ثلاث غرف ,3 ,1 , ,صالات  2 ,167, ,نعم ,نعم , ,126,دولار
2020-01-30 ,240088,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 ,صالة- صالون ,160, ,نعم ,نعم ,نعم ,600,دولار
2020-02-01 ,240089,للايجار,نابلس, -  مدينة نابلس,شقة,غير مفروشة ,ثلاث غرف ,-2 ,1 ,1 ,صالات واسعه ,150,0,نعم ,نعم , ,3300,دينار
2020-01-30 ,240090,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,غرفة واحدة - ستوديو ,1 ,1 , ,صالة  ,50, ,نعم ,نعم , ,350,دولار
2020-01-30 ,240091,للايجار,اريحا, -  مدينة اريحا,شقة,غير مفروشة ,غرفتين ,1 ,1 ,1 ,نعم , , , , , ,1000,شيكل
2020-01-30 ,240092,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف ,2 ,1 ,1 ,صالة- صالون ,160, ,نعم ,نعم , ,450,دولار
2020-01-30 ,240093,للبيع,رام الله والبيرة, - بيتونيا,شقة,مشطب ,ثلاث غرف ,2 ,1 ,1 ,صالة وصالون ,160, ,نعم ,نعم , ,90000,دولار
2020-01-30 ,240094,منفصل,رام الله والبيرة, - عين عريك,منزل,غير مفروشة ,خمس غرف ,3 ,2 ,2 ,صالون وصاله ,250,1000, ,نعم , ,400000,دولار
2020-02-01 ,240095,للايجار,رام الله والبيرة, - الطيرة,شقة,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 ,صالة وصالون مطبخ أمريكي  ,150, ,نعم ,نعم , ,600,دولار
2020-02-02 ,240097,للبيع,نابلس, -  مدينة نابلس,شقة,عظم ,ثلاث غرف ,2 ,1 , ,نعم ,135, ,نعم ,نعم , ,40000,دينار
2020-02-01 ,240099,للبيع,الخليل, -  مدينة الخليل,شقة,مشطب ,غرفتين ,1 ,1 ,0 ,لا ,0,0, , , ,29000,دينار
2020-02-03 ,240100,للبيع,نابلس, -  مدينة نابلس,شقة,مشطب ,غرفتين ,2 ,1 ,1 ,صالة كبيرة ,165, ,نعم ,نعم , ,56000,دينار
2020-02-02 ,240101,للبيع,قلقيلية, -  مدينة قلقيلية,شقة,غير مفروشة ,غرفتين ,1 ,1 ,1 , ,90, , , , ,100000,شيكل
2020-02-12 ,240102,للبيع,القدس, - ابو ديس,شقة,مفروشة ,أكثر من خمس غرف ,2 ,1 ,2 ,يوجد صاله ,140,500, , , ,50,دينار
2020-02-01 ,240103,للبيع,القدس, - ابو ديس,شقة,عظم ,أكثر من خمس غرف ,4 ,2 ,4 ,صالتين ,280,500, , , ,50000,دينار
2020-02-01 ,240104,للبيع,رام الله والبيرة, - بيتونيا,شقة,مشطب ,ثلاث غرف ,2 ,1 ,2 ,يوجد صالة وصالون منفصل مع سفرة ,160, ,نعم ,نعم , ,70000,دولار
2020-02-01 ,240105,منفصل,رام الله والبيرة, -  مدينة رام الله,منزل,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 ,صالة كبيرة  ,150,900,نعم ,نعم ,نعم ,160000,دولار
2020-02-04 ,240106,منفصل,رام الله والبيرة, -  مدينة رام الله,منزل,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 ,صالة كبيرة  ,215,900,نعم ,نعم ,نعم ,190000,دولار
2020-02-08 ,240107,منفصل,رام الله والبيرة, -  مدينة البيرة,منزل,غير مفروشة ,ثلاث غرف ,3 ,1 ,1 ,صالة كبيرة  ,155,900,نعم ,نعم ,نعم ,140000,دولار
2020-02-01 ,240108,للبيع,رام الله والبيرة, - بيتونيا,شقة,مشطب ,ثلاث غرف ,2 ,1 ,3 ,صالة كبيرة ,200,200,نعم ,نعم ,نعم ,85000,دولار
2020-02-04 ,240109,منفصل,رام الله والبيرة, -  مدينة البيرة,منزل,مشطب ,ثلاث غرف ,3 , , , ,175, , , , ,175000,دولار
2020-03-18 ,240110,منفصل,نابلس, - طلوزة,منزل,مشطب ,ثلاث غرف , , , , , ,2000, , , ,100000,دينار
2020-02-01 ,240111,للبيع,بيت لحم, - الخضر,شقة,مشطب ,غرفتين ,2 ,1 ,2 ,صالة مع صالون  ,90, , , , ,48000,دينار
2020-02-01 ,240112,للايجار,رام الله والبيرة, -  مدينة رام الله,شقة,غير مفروشة ,ثلاث غرف , , , , , , ,نعم ,نعم , ,430,دولار
2020-02-01 ,240113,للايجار,رام الله والبيرة, -  مدينة البيرة,شقة,مفروشة ,غرفة واحدة - ستوديو ,1 ,1 ,0 ,صالة  ,70, ,نعم ,نعم ,نعم ,450,دولار
2020-02-01 ,240114,للبيع,نابلس, -  مدينة نابلس,شقة,مشطب ,ثلاث غرف ,1 ,1 ,0 ,صالة متوسطه ,70, , , , ,30000,دينار
2020-02-01 ,240115,منفصل,طوباس, - واد الفارعة,منزل,عظم ,اربع غرف ,4 ,1 ,1 ,نعم ,160,1026, ,نعم ,نعم ,50000,دينار
2020-02-01 ,240117,للبيع,نابلس, -  مدينة نابلس,شقة,مشطب ,غرفتين ,1 ,1 ,1 ,صالة ,115, ,نعم ,نعم , ,55000,دينار
2020-02-01 ,240118,للبيع,طولكرم, -  مدينة طولكرم,شقة,مفروشة ,ثلاث غرف ,2 ,1 , , ,140, , ,نعم , ,65000,دينار
2020-02-02 ,240119,منفصل,نابلس, - بزاريا,منزل,مفروشة ,أكثر من خمس غرف ,4 ,1 ,1 ,طابق أول صالة كبيرة ,112,1500, ,نعم , ,150000,دينار
2020-02-01 ,240120,للايجار,جنين, - قباطية,شقة,مشطب ,خمس غرف ,2 ,1 ,0 ,نعم صالونين ,195, , ,نعم , ,160000,دينار
2020-02-10 ,240121,منفصل,جنين, - قباطية,منزل,مشطب ,ثلاث غرف ,2 ,1 ,1 ,نعم ,110,400, ,نعم , ,200,دينار
2020-02-01 ,240122,للبيع,نابلس, -  مدينة نابلس,شقة,مشطب ,ثلاث غرف ,2 ,1 ,1 ,نعم ,140,700,نعم ,نعم , ,65000,دينار
2020-02-03 ,240123,للبيع,رام الله والبيرة, -  مدينة البيرة,شقة,غير مفروشة ,غرفتين ,2 ,1 ,1 ,صالة كبيرة  ,100, , ,نعم , ,45000,دولار
2020-02-01 ,240124,للايجار,الخليل, -  مدينة الخليل,شقة,غير مفروشة ,ثلاث غرف ,1 ,1 ,1 ,صاله كبيره ,116, , ,نعم , ,800,شيكل
