,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,price
247,140.0,0,0,1,400
248,140.0,0,1,0,900
249,100,0,1,0,1000
250,170,0,1,0,2500
251,140.0,0,0,1,600
252,175,0,0,1,800
253,148,0,1,0,2500
254,122,0,0,1,500
255,100,0,1,0,1000
256,170,0,0,1,1100
257,140,0,1,0,1500
258,170,0,0,1,1100
259,110,0,0,1,400
260,140.0,0,0,1,350
261,200,0,1,0,1300
262,80,1,0,0,1500
263,140.0,0,1,0,1000
264,88,0,1,0,1200
265,140.0,0,1,0,1300
266,140,0,1,0,850
267,140.0,0,0,1,850
268,100,0,0,1,650
269,160,0,0,1,600
270,120,0,0,1,600
271,45,0,0,1,340
272,170,0,0,1,500
273,118,0,0,1,600
274,140.0,0,0,1,550
275,140,0,0,1,700
276,140.0,0,1,0,300
277,140.0,0,1,0,1900
278,155,0,0,1,500
279,140.0,0,1,0,1100
280,145,0,0,1,800
281,140.0,0,0,1,1000
282,180,0,1,0,1500
283,60,0,0,1,300
284,100,0,1,0,700
285,135,0,0,1,600
286,165,0,0,1,700
287,140.0,0,0,1,500
288,140.0,0,0,1,450
289,140,0,0,1,500
290,140.0,0,0,1,550
291,220,0,0,1,600
292,155,0,0,1,700
293,16,0,1,0,550
294,138,0,0,1,500
295,140,0,1,0,1500
296,160,0,0,1,600
297,160,0,0,1,550
298,160,0,0,1,600
299,1,0,0,1,700
300,1,0,0,1,700
301,140.0,0,1,0,1200
302,140.0,0,1,0,1100
303,120,0,0,1,450
304,140.0,0,1,0,1200
305,135,0,1,0,1250
306,150,0,1,0,1300
307,120,0,1,0,1000
308,140.0,0,0,1,500
309,140.0,0,0,1,500
310,170,0,0,1,700
311,140.0,0,1,0,350
312,170,0,1,0,1800
313,150,0,0,1,600
314,85,0,0,1,500
315,220,0,0,1,600
316,170,0,0,1,600
317,110,0,1,0,15000
318,150,0,1,0,2100
319,140.0,0,0,1,300
320,170,0,0,1,1150
321,170,0,0,1,850
322,140.0,0,0,1,600
323,180,0,0,1,1100
324,150,0,0,1,650
325,140,0,0,1,700
326,150,0,0,1,550
327,50,0,1,0,1600
328,50,0,0,1,350
329,140.0,0,1,0,900
330,90,1,0,0,2700
331,150,0,0,1,800
332,170,0,0,1,700
333,130,0,1,0,1400
334,110,0,1,0,1500
335,110,0,1,0,500
336,120,1,0,0,2500
337,40,0,1,0,1500
338,140.0,0,0,1,450
339,150,0,1,0,2500
340,140.0,0,0,1,500
341,145,0,1,0,2700
342,110,0,0,1,400
343,150,0,0,1,600
344,140.0,0,0,1,550
345,160,0,0,1,600
346,140,0,0,1,5009
347,25,0,1,0,1000
348,80,0,1,0,1000
349,26,0,1,0,1200
350,170,0,0,1,700
351,0,0,1,0,1500
352,100,0,1,0,1800
353,215,0,0,1,850
354,100,0,0,1,1000
355,80,0,1,0,1200
356,145,0,1,0,2500
357,140,0,1,0,1300
358,130,0,1,0,800
359,170,0,0,1,1000
360,160,0,0,1,600
361,140.0,0,0,1,450
362,25,0,1,0,1000
363,155,0,0,1,600
364,60,0,1,0,1500
365,50,0,0,1,550
366,145,0,0,1,600
367,166,0,1,0,1000
368,140.0,0,0,1,450
369,155,0,1,0,1700
370,140.0,0,1,0,1300
371,140,0,0,1,500
372,45,0,0,1,340
373,60,0,1,0,1300
374,140.0,0,1,0,1100
375,140.0,0,0,1,700
376,140.0,0,1,0,1700
377,100,0,1,0,1700
378,150,0,0,1,600
379,162,0,0,1,600
380,168,0,0,1,550
381,200,0,1,0,2000
382,150,0,0,1,600
383,140.0,0,1,0,1500
384,70,0,0,1,500
385,120,0,0,1,600
386,140,0,1,0,2100
387,160,0,1,0,2100
388,130,0,1,0,1100
389,125,0,0,1,650
390,140.0,0,0,1,600
391,140.0,0,0,1,450
392,50,0,1,0,1800
393,100,0,1,0,2800
394,170,0,0,1,700
395,155,0,0,1,500
396,80,0,0,1,500
397,170,0,0,1,600
398,120,0,0,1,600
399,140.0,0,1,0,1500
400,145,1,0,0,250
401,120,0,1,0,2200
402,155,0,0,1,600
403,145,1,0,0,3500
404,140.0,0,1,0,1000
405,90,0,1,0,1000
406,140.0,0,1,0,1900
407,140.0,0,1,0,900
408,140.0,0,1,0,1100
409,160,0,1,0,1100
410,80,0,1,0,750
411,140,0,1,0,1500
412,170,0,1,0,1450
413,140.0,0,1,0,1500
414,140.0,0,0,1,600
415,150,0,0,1,550
416,200,0,1,0,1200
417,45,0,0,1,340
418,160,0,0,1,800
419,125,0,0,1,650
420,50,0,1,0,1800
421,130,1,0,0,2700
422,150,0,0,1,550
423,150,0,0,1,550
424,135,0,1,0,2300
425,160,0,0,1,600
426,140.0,0,1,0,1200
427,60,0,0,1,350
428,140.0,0,1,0,250
429,90,0,0,1,650
430,120,0,1,0,1250
431,100,0,1,0,1500
432,160,0,0,1,700
433,170,0,0,1,700
434,1000,0,1,0,1400
435,132,1,0,0,500
436,90,0,1,0,1500
437,160,0,0,1,550
438,135,1,0,0,3000
439,120,0,1,0,1700
440,165,0,0,1,400
441,140.0,0,1,0,2000
442,145,0,0,1,800
443,140.0,0,0,1,450
444,150,0,1,0,1500
445,100,0,1,0,1000
446,110,0,0,1,600
447,140.0,0,0,1,400
448,140.0,0,0,1,600
449,140.0,0,1,0,1200
450,110,0,0,1,400
451,130,1,0,0,2700
452,130,1,0,0,2000
453,120,0,1,0,800
454,160,0,0,1,700
455,155,0,0,1,600
456,80,0,0,1,500
457,155,0,0,1,500
458,140.0,0,0,1,800
459,60,0,0,1,400
460,160,0,1,0,2000
461,125,0,0,1,500
462,120,0,0,1,800
463,80,0,0,1,450
464,100,0,1,0,1000
465,45,0,0,1,340
466,130,1,0,0,3300
467,140.0,0,0,1,400
468,140.0,0,0,1,450
469,140.0,0,0,1,800
470,260,0,0,1,800
471,170,0,1,0,500
472,150,0,0,1,750
473,110,0,0,1,400
474,120,0,1,0,1500
475,140.0,0,0,1,350
476,45,0,1,0,1800
477,140,0,0,1,500
478,90,0,0,1,450
479,90,0,0,1,550
480,200,0,0,1,850
481,135,1,0,0,140000
482,155,0,0,1,600
483,140.0,0,0,1,600
484,90,0,1,0,900
485,170,0,0,1,900
486,160,0,1,0,1200
487,150,0,0,1,450
488,200,0,1,0,1500
489,120,0,1,0,1300
490,270,0,0,1,200
491,140.0,0,1,0,2000
492,140.0,0,0,1,600
493,140.0,0,0,1,350
494,140.0,0,1,0,1200
495,130,0,1,0,1500
496,30,0,0,1,350
497,170,0,1,0,310000
498,140.0,0,1,0,1800
499,180,0,0,1,1000
500,180,0,0,1,900
501,140,0,0,1,500
502,110,1,0,0,2500
503,110,0,0,1,400
504,160,0,0,1,600
505,120,0,0,1,900
506,140.0,0,0,1,600
507,150,1,0,0,2800
508,140.0,0,0,1,400
509,75,0,1,0,1000
510,130,0,0,1,650
511,130,1,0,0,2500
512,130,0,1,0,1500
513,135,0,1,0,2200
514,140.0,0,1,0,3000
515,200,0,1,0,1500
516,170,0,1,0,1000
517,100,1,0,0,2600
518,140.0,1,0,0,2800
519,150,0,0,1,700
520,140.0,0,1,0,500
521,180,1,0,0,3000
522,139,0,0,1,800
523,90,0,0,1,500
524,90,0,0,1,500
525,170,0,0,1,1100
526,170,0,0,1,700
527,170,0,0,1,700
528,100,0,1,0,1100
529,80,0,1,0,1000
530,140.0,0,1,0,800
531,90,0,1,0,1400
532,80,0,0,1,350
533,140.0,0,0,1,850
534,140.0,0,0,1,600
535,140,0,1,0,1500
536,125,0,0,1,650
537,140,0,1,0,1500
538,140.0,0,1,0,1500
539,100,0,0,1,650
540,140.0,0,0,1,400
541,140.0,0,0,1,500
542,140.0,0,1,0,350
543,200,1,0,0,3300
544,160,1,0,0,3700
545,140.0,0,1,0,2500
546,169,0,0,1,500
547,100,0,1,0,900
548,140.0,0,0,1,500
549,140.0,0,0,1,350
550,40,0,1,0,1000
551,120,1,0,0,2200
552,180,0,0,1,900
553,150,0,0,1,500
554,50,0,0,1,400
555,200,0,0,1,850
556,140.0,0,0,1,1000
557,140.0,0,0,1,400
558,140.0,0,0,1,400
559,140.0,0,0,1,400
560,150,0,0,1,650
561,140.0,0,0,1,350
562,140.0,0,1,0,1800
563,160,0,0,1,600
564,150,0,1,0,2000
565,100,0,1,0,1200
566,160,0,0,1,800
567,150,0,1,0,2500
568,140.0,0,0,1,500
569,145,0,0,1,950
570,160,0,0,1,1100
571,150,0,0,1,500
572,140.0,0,1,0,2000
573,130,0,1,0,2500
574,150,0,1,0,2500
575,200,1,0,0,3000
576,250,0,1,0,2000
577,120,0,1,0,1500
578,140,0,1,0,1200
579,16,0,1,0,550
580,170,0,0,1,600
581,100,0,1,0,1500
582,175,0,0,1,600
583,220,0,0,1,600
584,150,1,0,0,3500
585,140.0,0,0,1,700
586,140.0,0,0,1,850
587,140.0,1,0,0,1800
588,60,0,1,0,900
589,150,0,1,0,2000
590,120,0,1,0,2200
591,125,0,0,1,500
592,110,0,0,1,350
593,150,0,0,1,700
594,144,0,1,0,1400
595,150,0,0,1,500
596,150,1,0,0,2500
597,45,1,0,0,200
598,135,0,1,0,1700
599,100,0,1,0,1200
600,75,0,1,0,2000
601,140,0,1,0,1200
602,45,0,0,1,400
603,170,0,0,1,1200
604,100,1,0,0,170
605,140.0,0,1,0,1500
606,50,0,0,1,300
607,90,1,0,0,2300
608,140.0,0,1,0,2500
609,170,0,0,1,900
610,140.0,0,0,1,400
611,140.0,0,0,1,600
612,160,0,0,1,600
613,160,0,0,1,500
614,85,0,0,1,550
615,160,0,0,1,850
616,150,0,0,1,450
617,140,0,1,0,1500
618,140.0,0,0,1,350
619,140.0,0,0,1,600
620,25,0,1,0,1300
621,0,0,0,1,600
622,140,1,0,0,3500
623,140,0,1,0,400
624,140.0,0,1,0,1800
625,170,0,0,1,450
626,180,0,0,1,800
627,180,0,0,1,800
628,200,0,0,1,1000
629,100,0,0,1,850
630,100,0,0,1,900
631,215,0,0,1,850
632,170,0,1,0,1700
633,160,0,0,1,800
634,145,0,0,1,430
635,170,0,0,1,950
636,140.0,0,0,1,800
637,140.0,0,0,1,450
638,135,0,0,1,450
639,140.0,0,0,1,500
640,-140,1,0,0,4000
641,160,0,0,1,500
642,175,0,0,1,550
643,180,0,0,1,1000
644,350,0,0,1,800
645,150,1,0,0,3700
646,140.0,0,0,1,600
647,140.0,0,0,1,500
648,140.0,0,0,1,1000
649,145,0,0,1,600
650,140.0,0,0,1,500
651,170,0,0,1,1100
652,200,0,0,1,1200
653,150,0,0,1,900
654,140.0,0,0,1,900
655,180,0,0,1,750
656,140.0,0,1,0,350
657,140.0,0,1,0,1300
658,140.0,0,1,0,1200
659,140.0,0,1,0,400
660,180,0,0,1,900
661,140.0,0,1,0,1500
662,140,0,0,1,400
663,150,0,1,0,2100
664,130,0,0,1,550
665,80,1,0,0,1200
666,160,0,0,1,250
667,187,0,0,1,900
668,140.0,0,1,0,1800
669,160,0,0,1,1200
670,120,0,1,0,300
671,160,0,0,1,600
672,140.0,0,0,1,700
673,170,0,1,0,1800
674,160,0,0,1,700
675,140.0,0,1,0,1500
676,110,0,0,1,500
677,140.0,0,0,1,350
678,160,0,1,0,1450
679,140.0,0,1,0,1200
680,140.0,0,0,1,200
681,130,0,1,0,450
682,1150,0,0,1,450
683,150,0,0,1,550
684,130,0,1,0,1200
685,100,0,1,0,1000
686,120,0,1,0,13200
687,140.0,0,1,0,1400
688,90,0,0,1,550
689,155,0,0,1,600
690,155,0,0,1,500
691,170,0,1,0,2200
692,165,0,1,0,1450
693,90,0,1,0,1500
694,120,0,0,1,600
695,190,0,0,1,600
696,80,0,0,1,450
697,140.0,0,1,0,1500
698,100,0,1,0,1000
699,140.0,1,0,0,2300
700,140.0,0,0,1,500
701,170,0,0,1,700
702,20,0,1,0,700
703,140.0,0,1,0,1700
704,70,0,0,1,550
705,150,0,0,1,900
706,140,0,0,1,500
707,160,0,0,1,850
708,20,0,1,0,700
709,140.0,0,1,0,2000
710,140,0,0,1,500
711,140.0,0,0,1,500
712,140.0,0,0,1,500
713,70,0,1,0,1800
714,130,0,0,1,550
715,120,0,1,0,2300
716,140.0,0,1,0,1500
717,140.0,0,0,1,350
718,140.0,0,1,0,1800
719,140.0,0,1,0,400
720,160,1,0,0,3700
721,160,0,0,1,500
722,180,0,0,1,700
723,140,0,1,0,1400
724,140.0,1,0,0,3300
725,140.0,0,1,0,1750
