date,city,status,numberRooms,numberBathrooms,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,featurePlus,status_A,status_B,status_C,status_D,status_E,city_B,city_H,city_J,city_JN,city_JR,city_N,city_Q,city_RB,city_S,city_T,city_TB,MedstatusHouseSpace,city_encoded,price
2020-01-30,1,1,3,2,2,1,1,0,160.0,0,0,1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1200
2020-01-30,1,1,2,2,1,0,1,0,145.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-01-30,1,2,3,3,1,1,1,1,160.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-01,4,2,3,2,1,1,1,0,150.0,1,0,0,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,140.0,5829.75481655339,3300
2020-01-30,1,2,1,1,0,1,1,0,50.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,350
2020-01-30,1,2,3,2,1,1,1,0,160.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,450
2020-02-01,1,2,3,3,1,1,1,0,150.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-01,1,2,3,1,0,1,1,0,140.0,0,0,1,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,430
2020-02-01,1,1,1,1,0,1,1,1,70.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,450
2020-02-01,5,2,3,1,1,0,1,0,116.0,0,1,0,0.3333333333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,140.0,4500.664105141376,800
2020-02-01,1,2,3,3,1,1,1,0,150.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,550
2020-02-11,1,1,3,3,1,1,1,0,165.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,650
2020-02-01,1,2,2,2,2,0,0,0,130.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1600
2020-02-01,1,2,3,2,3,0,0,0,180.0,0,1,0,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1300
